Trajectory - Seconds: 15.26, States:
State(Sec: 0.00, Vel m/s: 0.00, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.81, Y: 0.66), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 1.82, Vel m/s: 1.49, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.22, Y: 1.14), Rotation2d(Rads: 1.04, Deg: 59.41)), Curvature: -0.02), 
State(Sec: 1.88, Vel m/s: 1.55, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.27, Y: 1.22), Rotation2d(Rads: 1.02, Deg: 58.30)), Curvature: -0.00), 
State(Sec: 1.95, Vel m/s: 1.62, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.32, Y: 1.31), Rotation2d(Rads: 1.00, Deg: 57.16)), Curvature: -0.20), 
State(Sec: 2.00, Vel m/s: 1.67, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.37, Y: 1.37), Rotation2d(Rads: 0.98, Deg: 56.39)), Curvature: -0.14), 
State(Sec: 2.06, Vel m/s: 1.73, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.43, Y: 1.46), Rotation2d(Rads: 0.97, Deg: 55.63)), Curvature: -0.11), 
State(Sec: 2.10, Vel m/s: 1.77, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.47, Y: 1.52), Rotation2d(Rads: 0.96, Deg: 55.25)), Curvature: -0.10), 
State(Sec: 2.14, Vel m/s: 1.81, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.51, Y: 1.58), Rotation2d(Rads: 0.96, Deg: 54.84)), Curvature: -0.10), 
State(Sec: 2.18, Vel m/s: 1.85, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.55, Y: 1.64), Rotation2d(Rads: 0.95, Deg: 54.41)), Curvature: -0.10), 
State(Sec: 2.23, Vel m/s: 1.89, Accel m/s/s: 0.93, Pose: Pose2d(Translation2d(X: 2.60, Y: 1.70), Rotation2d(Rads: 0.94, Deg: 53.95)), Curvature: -0.10), 
State(Sec: 2.27, Vel m/s: 1.93, Accel m/s/s: -0.94, Pose: Pose2d(Translation2d(X: 2.65, Y: 1.77), Rotation2d(Rads: 0.93, Deg: 53.44)), Curvature: -0.11), 
State(Sec: 2.32, Vel m/s: 1.89, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 2.70, Y: 1.84), Rotation2d(Rads: 0.92, Deg: 52.88)), Curvature: -0.11), 
State(Sec: 2.37, Vel m/s: 1.84, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 2.76, Y: 1.92), Rotation2d(Rads: 0.91, Deg: 52.25)), Curvature: -0.13), 
State(Sec: 2.42, Vel m/s: 1.79, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 2.81, Y: 1.99), Rotation2d(Rads: 0.90, Deg: 51.54)), Curvature: -0.14), 
State(Sec: 2.47, Vel m/s: 1.74, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 2.87, Y: 2.06), Rotation2d(Rads: 0.89, Deg: 50.74)), Curvature: -0.16), 
State(Sec: 2.52, Vel m/s: 1.68, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 2.93, Y: 2.13), Rotation2d(Rads: 0.87, Deg: 49.81)), Curvature: -0.19), 
State(Sec: 2.58, Vel m/s: 1.63, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 2.99, Y: 2.20), Rotation2d(Rads: 0.85, Deg: 48.74)), Curvature: -0.23), 
State(Sec: 2.63, Vel m/s: 1.57, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.05, Y: 2.26), Rotation2d(Rads: 0.83, Deg: 47.48)), Curvature: -0.28), 
State(Sec: 2.69, Vel m/s: 1.52, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.10, Y: 2.33), Rotation2d(Rads: 0.80, Deg: 46.00)), Curvature: -0.35), 
State(Sec: 2.74, Vel m/s: 1.47, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.16, Y: 2.38), Rotation2d(Rads: 0.77, Deg: 44.24)), Curvature: -0.44), 
State(Sec: 2.79, Vel m/s: 1.42, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.21, Y: 2.43), Rotation2d(Rads: 0.74, Deg: 42.14)), Curvature: -0.57), 
State(Sec: 2.84, Vel m/s: 1.37, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.27, Y: 2.48), Rotation2d(Rads: 0.69, Deg: 39.61)), Curvature: -0.74), 
State(Sec: 2.88, Vel m/s: 1.32, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.31, Y: 2.52), Rotation2d(Rads: 0.64, Deg: 36.57)), Curvature: -0.97), 
State(Sec: 2.93, Vel m/s: 1.28, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.36, Y: 2.55), Rotation2d(Rads: 0.57, Deg: 32.93)), Curvature: -1.28), 
State(Sec: 2.97, Vel m/s: 1.24, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.41, Y: 2.57), Rotation2d(Rads: 0.50, Deg: 28.68)), Curvature: -1.64), 
State(Sec: 3.01, Vel m/s: 1.20, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.45, Y: 2.59), Rotation2d(Rads: 0.42, Deg: 23.88)), Curvature: -1.99), 
State(Sec: 3.02, Vel m/s: 1.18, Accel m/s/s: -0.85, Pose: Pose2d(Translation2d(X: 3.47, Y: 2.60), Rotation2d(Rads: 0.37, Deg: 21.35)), Curvature: -2.12), 
State(Sec: 3.04, Vel m/s: 1.17, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.49, Y: 2.61), Rotation2d(Rads: 0.33, Deg: 18.82)), Curvature: -2.19), 
State(Sec: 3.07, Vel m/s: 1.20, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.52, Y: 2.62), Rotation2d(Rads: 0.25, Deg: 14.10)), Curvature: -2.01), 
State(Sec: 3.13, Vel m/s: 1.26, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.59, Y: 2.63), Rotation2d(Rads: 0.16, Deg: 9.22)), Curvature: 0.00), 
State(Sec: 3.19, Vel m/s: 1.31, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.66, Y: 2.65), Rotation2d(Rads: 0.17, Deg: 9.47)), Curvature: 0.10), 
State(Sec: 3.25, Vel m/s: 1.37, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.74, Y: 2.66), Rotation2d(Rads: 0.17, Deg: 9.88)), Curvature: 0.07), 
State(Sec: 3.31, Vel m/s: 1.43, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.83, Y: 2.67), Rotation2d(Rads: 0.18, Deg: 10.10)), Curvature: 0.01), 
State(Sec: 3.38, Vel m/s: 1.50, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.93, Y: 2.69), Rotation2d(Rads: 0.17, Deg: 10.00)), Curvature: -0.04), 
State(Sec: 3.45, Vel m/s: 1.58, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.04, Y: 2.71), Rotation2d(Rads: 0.17, Deg: 9.57)), Curvature: -0.09), 
State(Sec: 3.53, Vel m/s: 1.66, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.16, Y: 2.73), Rotation2d(Rads: 0.15, Deg: 8.81)), Curvature: -0.12), 
State(Sec: 3.57, Vel m/s: 1.70, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.23, Y: 2.74), Rotation2d(Rads: 0.14, Deg: 8.30)), Curvature: -0.14), 
State(Sec: 3.61, Vel m/s: 1.73, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.30, Y: 2.75), Rotation2d(Rads: 0.13, Deg: 7.70)), Curvature: -0.17), 
State(Sec: 3.65, Vel m/s: 1.77, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.37, Y: 2.76), Rotation2d(Rads: 0.12, Deg: 7.00)), Curvature: -0.19), 
State(Sec: 3.69, Vel m/s: 1.81, Accel m/s/s: 0.97, Pose: Pose2d(Translation2d(X: 4.43, Y: 2.77), Rotation2d(Rads: 0.11, Deg: 6.19)), Curvature: -0.22), 
State(Sec: 3.73, Vel m/s: 1.85, Accel m/s/s: -0.64, Pose: Pose2d(Translation2d(X: 4.50, Y: 2.77), Rotation2d(Rads: 0.09, Deg: 5.26)), Curvature: -0.25), 
State(Sec: 3.76, Vel m/s: 1.83, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.57, Y: 2.78), Rotation2d(Rads: 0.07, Deg: 4.20)), Curvature: -0.29), 
State(Sec: 3.80, Vel m/s: 1.79, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.64, Y: 2.78), Rotation2d(Rads: 0.05, Deg: 3.00)), Curvature: -0.33), 
State(Sec: 3.84, Vel m/s: 1.75, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.71, Y: 2.79), Rotation2d(Rads: 0.03, Deg: 1.62)), Curvature: -0.39), 
State(Sec: 3.88, Vel m/s: 1.71, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.77, Y: 2.79), Rotation2d(Rads: 0.00, Deg: 0.06)), Curvature: -0.45), 
State(Sec: 3.91, Vel m/s: 1.67, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.84, Y: 2.79), Rotation2d(Rads: -0.03, Deg: -1.70)), Curvature: -0.53), 
State(Sec: 3.99, Vel m/s: 1.60, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.95, Y: 2.78), Rotation2d(Rads: -0.10, Deg: -5.90)), Curvature: -0.72), 
State(Sec: 4.02, Vel m/s: 1.57, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 5.01, Y: 2.77), Rotation2d(Rads: -0.15, Deg: -8.33)), Curvature: -0.83), 
State(Sec: 4.06, Vel m/s: 1.53, Accel m/s/s: -0.90, Pose: Pose2d(Translation2d(X: 5.06, Y: 2.76), Rotation2d(Rads: -0.19, Deg: -10.96)), Curvature: -0.93), 
State(Sec: 4.09, Vel m/s: 1.51, Accel m/s/s: -0.30, Pose: Pose2d(Translation2d(X: 5.11, Y: 2.75), Rotation2d(Rads: -0.24, Deg: -13.72)), Curvature: -1.01), 
State(Sec: 4.12, Vel m/s: 1.50, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 5.15, Y: 2.74), Rotation2d(Rads: -0.29, Deg: -16.50)), Curvature: -1.03), 
State(Sec: 4.18, Vel m/s: 1.55, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 5.24, Y: 2.71), Rotation2d(Rads: -0.37, Deg: -21.34)), Curvature: -0.79), 
State(Sec: 4.23, Vel m/s: 1.61, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 5.32, Y: 2.68), Rotation2d(Rads: -0.41, Deg: -23.46)), Curvature: -0.00), 
State(Sec: 4.28, Vel m/s: 1.66, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 5.39, Y: 2.65), Rotation2d(Rads: -0.40, Deg: -23.19)), Curvature: 0.10), 
State(Sec: 4.33, Vel m/s: 1.71, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 5.47, Y: 2.61), Rotation2d(Rads: -0.40, Deg: -22.68)), Curvature: 0.10), 
State(Sec: 4.38, Vel m/s: 1.76, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 5.55, Y: 2.58), Rotation2d(Rads: -0.39, Deg: -22.29)), Curvature: 0.05), 
State(Sec: 4.43, Vel m/s: 1.80, Accel m/s/s: -0.48, Pose: Pose2d(Translation2d(X: 5.63, Y: 2.55), Rotation2d(Rads: -0.39, Deg: -22.32)), Curvature: -0.06), 
State(Sec: 4.48, Vel m/s: 1.78, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 5.70, Y: 2.52), Rotation2d(Rads: -0.40, Deg: -22.95)), Curvature: -0.20), 
State(Sec: 4.52, Vel m/s: 1.73, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 5.78, Y: 2.48), Rotation2d(Rads: -0.42, Deg: -24.34)), Curvature: -0.36), 
State(Sec: 4.58, Vel m/s: 1.68, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 5.86, Y: 2.45), Rotation2d(Rads: -0.46, Deg: -26.54)), Curvature: -0.53), 
State(Sec: 4.63, Vel m/s: 1.63, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 5.94, Y: 2.40), Rotation2d(Rads: -0.52, Deg: -29.57)), Curvature: -0.69), 
State(Sec: 4.68, Vel m/s: 1.58, Accel m/s/s: -0.63, Pose: Pose2d(Translation2d(X: 6.01, Y: 2.36), Rotation2d(Rads: -0.58, Deg: -33.35)), Curvature: -0.82), 
State(Sec: 4.74, Vel m/s: 1.54, Accel m/s/s: -0.15, Pose: Pose2d(Translation2d(X: 6.08, Y: 2.31), Rotation2d(Rads: -0.66, Deg: -37.72)), Curvature: -0.91), 
State(Sec: 4.80, Vel m/s: 1.53, Accel m/s/s: 0.36, Pose: Pose2d(Translation2d(X: 6.15, Y: 2.25), Rotation2d(Rads: -0.74, Deg: -42.41)), Curvature: -0.94), 
State(Sec: 4.85, Vel m/s: 1.55, Accel m/s/s: 0.90, Pose: Pose2d(Translation2d(X: 6.21, Y: 2.19), Rotation2d(Rads: -0.82, Deg: -47.10)), Curvature: -0.88), 
State(Sec: 4.91, Vel m/s: 1.60, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.27, Y: 2.12), Rotation2d(Rads: -0.90, Deg: -51.40)), Curvature: -0.75), 
State(Sec: 4.97, Vel m/s: 1.66, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.33, Y: 2.05), Rotation2d(Rads: -0.96, Deg: -54.95)), Curvature: -0.56), 
State(Sec: 5.02, Vel m/s: 1.72, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.38, Y: 1.97), Rotation2d(Rads: -1.00, Deg: -57.36)), Curvature: -0.31), 
State(Sec: 5.08, Vel m/s: 1.77, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.43, Y: 1.88), Rotation2d(Rads: -1.02, Deg: -58.27)), Curvature: 0.00), 
State(Sec: 5.13, Vel m/s: 1.83, Accel m/s/s: -0.78, Pose: Pose2d(Translation2d(X: 6.48, Y: 1.80), Rotation2d(Rads: -1.02, Deg: -58.60)), Curvature: -0.11), 
State(Sec: 5.19, Vel m/s: 1.78, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.54, Y: 1.72), Rotation2d(Rads: -1.04, Deg: -59.35)), Curvature: -0.15), 
State(Sec: 5.24, Vel m/s: 1.73, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.59, Y: 1.63), Rotation2d(Rads: -1.05, Deg: -60.23)), Curvature: -0.15), 
State(Sec: 5.30, Vel m/s: 1.67, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.64, Y: 1.54), Rotation2d(Rads: -1.06, Deg: -60.99)), Curvature: -0.11), 
State(Sec: 5.37, Vel m/s: 1.60, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.68, Y: 1.45), Rotation2d(Rads: -1.07, Deg: -61.50)), Curvature: -0.06), 
State(Sec: 5.43, Vel m/s: 1.54, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.73, Y: 1.36), Rotation2d(Rads: -1.08, Deg: -61.66)), Curvature: 0.01), 
State(Sec: 5.50, Vel m/s: 1.47, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.78, Y: 1.28), Rotation2d(Rads: -1.07, Deg: -61.37)), Curvature: 0.10), 
State(Sec: 5.57, Vel m/s: 1.41, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.83, Y: 1.19), Rotation2d(Rads: -1.06, Deg: -60.53)), Curvature: 0.21), 
State(Sec: 5.63, Vel m/s: 1.34, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.87, Y: 1.11), Rotation2d(Rads: -1.03, Deg: -59.02)), Curvature: 0.38), 
State(Sec: 5.69, Vel m/s: 1.28, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.92, Y: 1.04), Rotation2d(Rads: -0.99, Deg: -56.65)), Curvature: 0.64), 
State(Sec: 5.75, Vel m/s: 1.22, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.96, Y: 0.98), Rotation2d(Rads: -0.93, Deg: -53.18)), Curvature: 1.03), 
State(Sec: 5.81, Vel m/s: 1.16, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.00, Y: 0.93), Rotation2d(Rads: -0.84, Deg: -48.36)), Curvature: 1.59), 
State(Sec: 5.83, Vel m/s: 1.14, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.02, Y: 0.91), Rotation2d(Rads: -0.79, Deg: -45.40)), Curvature: 1.93), 
State(Sec: 5.86, Vel m/s: 1.11, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.04, Y: 0.89), Rotation2d(Rads: -0.73, Deg: -42.11)), Curvature: 2.26), 
State(Sec: 5.88, Vel m/s: 1.09, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.06, Y: 0.88), Rotation2d(Rads: -0.67, Deg: -38.57)), Curvature: 2.54), 
State(Sec: 5.90, Vel m/s: 1.07, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 7.08, Y: 0.86), Rotation2d(Rads: -0.61, Deg: -34.96)), Curvature: 2.66), 
State(Sec: 5.92, Vel m/s: 1.09, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 7.10, Y: 0.85), Rotation2d(Rads: -0.55, Deg: -31.53)), Curvature: 2.53), 
State(Sec: 5.94, Vel m/s: 1.11, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 7.12, Y: 0.84), Rotation2d(Rads: -0.50, Deg: -28.61)), Curvature: 2.06), 
State(Sec: 5.98, Vel m/s: 1.15, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 7.15, Y: 0.82), Rotation2d(Rads: -0.45, Deg: -25.85)), Curvature: -0.00), 
State(Sec: 6.06, Vel m/s: 1.22, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 7.23, Y: 0.78), Rotation2d(Rads: -0.42, Deg: -24.06)), Curvature: 0.57), 
State(Sec: 6.14, Vel m/s: 1.30, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 7.33, Y: 0.74), Rotation2d(Rads: -0.36, Deg: -20.44)), Curvature: 0.61), 
State(Sec: 6.23, Vel m/s: 1.39, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 7.45, Y: 0.70), Rotation2d(Rads: -0.28, Deg: -16.18)), Curvature: 0.61), 
State(Sec: 6.28, Vel m/s: 1.44, Accel m/s/s: 0.61, Pose: Pose2d(Translation2d(X: 7.51, Y: 0.69), Rotation2d(Rads: -0.24, Deg: -13.76)), Curvature: 0.66), 
State(Sec: 6.32, Vel m/s: 1.47, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.58, Y: 0.67), Rotation2d(Rads: -0.19, Deg: -11.02)), Curvature: 0.75), 
State(Sec: 6.37, Vel m/s: 1.42, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.64, Y: 0.66), Rotation2d(Rads: -0.14, Deg: -7.85)), Curvature: 0.88), 
State(Sec: 6.42, Vel m/s: 1.38, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.71, Y: 0.65), Rotation2d(Rads: -0.07, Deg: -4.12)), Curvature: 1.08), 
State(Sec: 6.46, Vel m/s: 1.33, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.77, Y: 0.65), Rotation2d(Rads: 0.00, Deg: 0.28)), Curvature: 1.34), 
State(Sec: 6.49, Vel m/s: 1.31, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.80, Y: 0.65), Rotation2d(Rads: 0.05, Deg: 2.75)), Curvature: 1.49), 
State(Sec: 6.51, Vel m/s: 1.28, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.83, Y: 0.65), Rotation2d(Rads: 0.09, Deg: 5.40)), Curvature: 1.64), 
State(Sec: 6.53, Vel m/s: 1.26, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.86, Y: 0.66), Rotation2d(Rads: 0.14, Deg: 8.19)), Curvature: 1.78), 
State(Sec: 6.55, Vel m/s: 1.24, Accel m/s/s: -0.41, Pose: Pose2d(Translation2d(X: 7.89, Y: 0.66), Rotation2d(Rads: 0.19, Deg: 11.08)), Curvature: 1.88), 
State(Sec: 6.58, Vel m/s: 1.23, Accel m/s/s: 0.80, Pose: Pose2d(Translation2d(X: 7.91, Y: 0.67), Rotation2d(Rads: 0.24, Deg: 13.98)), Curvature: 1.92), 
State(Sec: 6.60, Vel m/s: 1.25, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 7.94, Y: 0.67), Rotation2d(Rads: 0.29, Deg: 16.76)), Curvature: 1.85), 
State(Sec: 6.64, Vel m/s: 1.28, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 7.99, Y: 0.69), Rotation2d(Rads: 0.37, Deg: 21.35)), Curvature: 1.28), 
State(Sec: 6.67, Vel m/s: 1.32, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 8.03, Y: 0.71), Rotation2d(Rads: 0.41, Deg: 23.26)), Curvature: -0.00), 
State(Sec: 6.75, Vel m/s: 1.40, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 8.12, Y: 0.75), Rotation2d(Rads: 0.46, Deg: 26.50)), Curvature: 0.79), 
State(Sec: 6.79, Vel m/s: 1.44, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 8.18, Y: 0.78), Rotation2d(Rads: 0.51, Deg: 29.28)), Curvature: 0.74), 
State(Sec: 6.84, Vel m/s: 1.49, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 8.24, Y: 0.82), Rotation2d(Rads: 0.56, Deg: 32.23)), Curvature: 0.67), 
