Trajectory - Seconds: 8.63, States:
State(Sec: 0.00, Vel m/s: 0.00, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.45, Y: 2.29), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 3.18, Vel m/s: 1.35, Accel m/s/s: 0.23, Pose: Pose2d(Translation2d(X: 4.46, Y: 1.51), Rotation2d(Rads: 0.30, Deg: 17.37)), Curvature: 1.47), 
State(Sec: 3.20, Vel m/s: 1.36, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.49, Y: 1.52), Rotation2d(Rads: 0.35, Deg: 20.28)), Curvature: 1.45), 
State(Sec: 3.23, Vel m/s: 1.38, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.52, Y: 1.53), Rotation2d(Rads: 0.40, Deg: 22.98)), Curvature: 1.34), 
State(Sec: 3.27, Vel m/s: 1.43, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.58, Y: 1.56), Rotation2d(Rads: 0.47, Deg: 27.14)), Curvature: 0.84), 
State(Sec: 3.32, Vel m/s: 1.47, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.64, Y: 1.59), Rotation2d(Rads: 0.50, Deg: 28.74)), Curvature: 0.00), 
State(Sec: 3.40, Vel m/s: 1.55, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.74, Y: 1.65), Rotation2d(Rads: 0.54, Deg: 30.97)), Curvature: 0.55), 
State(Sec: 3.44, Vel m/s: 1.60, Accel m/s/s: 0.64, Pose: Pose2d(Translation2d(X: 4.80, Y: 1.69), Rotation2d(Rads: 0.58, Deg: 33.27)), Curvature: 0.67), 
State(Sec: 3.48, Vel m/s: 1.62, Accel m/s/s: 0.24, Pose: Pose2d(Translation2d(X: 4.85, Y: 1.73), Rotation2d(Rads: 0.63, Deg: 35.96)), Curvature: 0.71), 
State(Sec: 3.52, Vel m/s: 1.63, Accel m/s/s: 0.61, Pose: Pose2d(Translation2d(X: 4.91, Y: 1.77), Rotation2d(Rads: 0.68, Deg: 38.78)), Curvature: 0.69), 
State(Sec: 3.57, Vel m/s: 1.66, Accel m/s/s: 0.78, Pose: Pose2d(Translation2d(X: 4.97, Y: 1.81), Rotation2d(Rads: 0.73, Deg: 41.54)), Curvature: 0.63), 
State(Sec: 3.61, Vel m/s: 1.70, Accel m/s/s: 0.84, Pose: Pose2d(Translation2d(X: 5.02, Y: 1.87), Rotation2d(Rads: 0.77, Deg: 44.12)), Curvature: 0.55), 
State(Sec: 3.66, Vel m/s: 1.73, Accel m/s/s: 0.82, Pose: Pose2d(Translation2d(X: 5.08, Y: 1.92), Rotation2d(Rads: 0.81, Deg: 46.45)), Curvature: 0.47), 
State(Sec: 3.71, Vel m/s: 1.77, Accel m/s/s: 0.77, Pose: Pose2d(Translation2d(X: 5.13, Y: 1.98), Rotation2d(Rads: 0.85, Deg: 48.49)), Curvature: 0.39), 
State(Sec: 3.76, Vel m/s: 1.81, Accel m/s/s: 0.27, Pose: Pose2d(Translation2d(X: 5.19, Y: 2.05), Rotation2d(Rads: 0.88, Deg: 50.25)), Curvature: 0.32), 
State(Sec: 3.81, Vel m/s: 1.82, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 5.25, Y: 2.12), Rotation2d(Rads: 0.90, Deg: 51.71)), Curvature: 0.26), 
State(Sec: 3.86, Vel m/s: 1.77, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 5.30, Y: 2.19), Rotation2d(Rads: 0.92, Deg: 52.91)), Curvature: 0.20), 
State(Sec: 3.91, Vel m/s: 1.72, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 5.36, Y: 2.27), Rotation2d(Rads: 0.94, Deg: 53.84)), Curvature: 0.15), 
State(Sec: 3.96, Vel m/s: 1.66, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 5.41, Y: 2.34), Rotation2d(Rads: 0.95, Deg: 54.52)), Curvature: 0.10), 
State(Sec: 4.02, Vel m/s: 1.61, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 5.47, Y: 2.42), Rotation2d(Rads: 0.96, Deg: 54.94)), Curvature: 0.06), 
State(Sec: 4.08, Vel m/s: 1.55, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 5.52, Y: 2.49), Rotation2d(Rads: 0.96, Deg: 55.12)), Curvature: 0.01), 
State(Sec: 4.14, Vel m/s: 1.49, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 5.57, Y: 2.57), Rotation2d(Rads: 0.96, Deg: 55.03)), Curvature: -0.04), 
State(Sec: 4.20, Vel m/s: 1.43, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 5.62, Y: 2.64), Rotation2d(Rads: 0.95, Deg: 54.67)), Curvature: -0.10), 
State(Sec: 4.26, Vel m/s: 1.37, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 5.67, Y: 2.71), Rotation2d(Rads: 0.94, Deg: 53.99)), Curvature: -0.18), 
State(Sec: 4.32, Vel m/s: 1.31, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 5.72, Y: 2.77), Rotation2d(Rads: 0.92, Deg: 52.94)), Curvature: -0.28), 
State(Sec: 4.38, Vel m/s: 1.25, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 5.76, Y: 2.83), Rotation2d(Rads: 0.90, Deg: 51.48)), Curvature: -0.41), 
State(Sec: 4.44, Vel m/s: 1.19, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 5.81, Y: 2.89), Rotation2d(Rads: 0.86, Deg: 49.49)), Curvature: -0.59), 
State(Sec: 4.49, Vel m/s: 1.14, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 5.85, Y: 2.93), Rotation2d(Rads: 0.82, Deg: 46.87)), Curvature: -0.85), 
State(Sec: 4.54, Vel m/s: 1.09, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 5.89, Y: 2.97), Rotation2d(Rads: 0.76, Deg: 43.46)), Curvature: -1.21), 
State(Sec: 4.59, Vel m/s: 1.04, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 5.93, Y: 3.01), Rotation2d(Rads: 0.68, Deg: 39.11)), Curvature: -1.71), 
State(Sec: 4.62, Vel m/s: 1.01, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 5.95, Y: 3.02), Rotation2d(Rads: 0.64, Deg: 36.54)), Curvature: -2.02), 
State(Sec: 4.64, Vel m/s: 0.99, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 5.97, Y: 3.04), Rotation2d(Rads: 0.59, Deg: 33.68)), Curvature: -2.36), 
State(Sec: 4.66, Vel m/s: 0.97, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 5.99, Y: 3.05), Rotation2d(Rads: 0.53, Deg: 30.54)), Curvature: -2.73), 
State(Sec: 4.68, Vel m/s: 0.95, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.00, Y: 3.06), Rotation2d(Rads: 0.47, Deg: 27.14)), Curvature: -3.09), 
State(Sec: 4.70, Vel m/s: 0.93, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.02, Y: 3.07), Rotation2d(Rads: 0.41, Deg: 23.51)), Curvature: -3.42), 
State(Sec: 4.72, Vel m/s: 0.91, Accel m/s/s: -0.97, Pose: Pose2d(Translation2d(X: 6.04, Y: 3.07), Rotation2d(Rads: 0.34, Deg: 19.74)), Curvature: -3.69), 
State(Sec: 4.74, Vel m/s: 0.89, Accel m/s/s: 0.08, Pose: Pose2d(Translation2d(X: 6.06, Y: 3.08), Rotation2d(Rads: 0.28, Deg: 15.90)), Curvature: -3.83), 
State(Sec: 4.76, Vel m/s: 0.89, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.07, Y: 3.08), Rotation2d(Rads: 0.21, Deg: 12.14)), Curvature: -3.82), 
State(Sec: 4.78, Vel m/s: 0.91, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.09, Y: 3.09), Rotation2d(Rads: 0.15, Deg: 8.58)), Curvature: -3.62), 
State(Sec: 4.80, Vel m/s: 0.93, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.11, Y: 3.09), Rotation2d(Rads: 0.09, Deg: 5.37)), Curvature: -3.23), 
State(Sec: 4.83, Vel m/s: 0.96, Accel m/s/s: -0.88, Pose: Pose2d(Translation2d(X: 6.14, Y: 3.09), Rotation2d(Rads: 0.01, Deg: 0.60)), Curvature: -1.90), 
State(Sec: 4.86, Vel m/s: 0.93, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.17, Y: 3.09), Rotation2d(Rads: -0.02, Deg: -1.18)), Curvature: 0.00), 
State(Sec: 4.90, Vel m/s: 0.90, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.20, Y: 3.09), Rotation2d(Rads: -0.06, Deg: -3.64)), Curvature: -2.58), 
State(Sec: 4.92, Vel m/s: 0.88, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.22, Y: 3.09), Rotation2d(Rads: -0.11, Deg: -6.44)), Curvature: -3.46), 
State(Sec: 4.94, Vel m/s: 0.86, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.23, Y: 3.08), Rotation2d(Rads: -0.17, Deg: -9.99)), Curvature: -4.02), 
State(Sec: 4.96, Vel m/s: 0.84, Accel m/s/s: 0.45, Pose: Pose2d(Translation2d(X: 6.25, Y: 3.08), Rotation2d(Rads: -0.24, Deg: -14.03)), Curvature: -4.24), 
State(Sec: 4.98, Vel m/s: 0.85, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.27, Y: 3.08), Rotation2d(Rads: -0.32, Deg: -18.32)), Curvature: -4.15), 
State(Sec: 5.00, Vel m/s: 0.87, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.28, Y: 3.07), Rotation2d(Rads: -0.40, Deg: -22.63)), Curvature: -3.85), 
State(Sec: 5.02, Vel m/s: 0.89, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.30, Y: 3.06), Rotation2d(Rads: -0.47, Deg: -26.79)), Curvature: -3.42), 
State(Sec: 5.05, Vel m/s: 0.92, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.32, Y: 3.05), Rotation2d(Rads: -0.54, Deg: -30.67)), Curvature: -2.94), 
State(Sec: 5.07, Vel m/s: 0.94, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.34, Y: 3.04), Rotation2d(Rads: -0.60, Deg: -34.20)), Curvature: -2.47), 
State(Sec: 5.10, Vel m/s: 0.97, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.36, Y: 3.02), Rotation2d(Rads: -0.65, Deg: -37.37)), Curvature: -2.05), 
State(Sec: 5.12, Vel m/s: 0.99, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.38, Y: 3.01), Rotation2d(Rads: -0.70, Deg: -40.18)), Curvature: -1.68), 
State(Sec: 5.18, Vel m/s: 1.05, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.42, Y: 2.97), Rotation2d(Rads: -0.78, Deg: -44.81)), Curvature: -1.12), 
State(Sec: 5.24, Vel m/s: 1.11, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.47, Y: 2.92), Rotation2d(Rads: -0.84, Deg: -48.34)), Curvature: -0.75), 
State(Sec: 5.31, Vel m/s: 1.18, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.52, Y: 2.86), Rotation2d(Rads: -0.89, Deg: -51.02)), Curvature: -0.51), 
State(Sec: 5.38, Vel m/s: 1.25, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.57, Y: 2.80), Rotation2d(Rads: -0.93, Deg: -53.05)), Curvature: -0.35), 
State(Sec: 5.45, Vel m/s: 1.32, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.62, Y: 2.72), Rotation2d(Rads: -0.95, Deg: -54.58)), Curvature: -0.24), 
State(Sec: 5.52, Vel m/s: 1.39, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.68, Y: 2.64), Rotation2d(Rads: -0.97, Deg: -55.71)), Curvature: -0.17), 
State(Sec: 5.59, Vel m/s: 1.46, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.73, Y: 2.56), Rotation2d(Rads: -0.99, Deg: -56.52)), Curvature: -0.11), 
State(Sec: 5.66, Vel m/s: 1.53, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.79, Y: 2.47), Rotation2d(Rads: -1.00, Deg: -57.05)), Curvature: -0.07), 
State(Sec: 5.73, Vel m/s: 1.60, Accel m/s/s: -0.03, Pose: Pose2d(Translation2d(X: 6.85, Y: 2.38), Rotation2d(Rads: -1.00, Deg: -57.35)), Curvature: -0.03), 
State(Sec: 5.80, Vel m/s: 1.60, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.91, Y: 2.29), Rotation2d(Rads: -1.00, Deg: -57.43)), Curvature: 0.00), 
State(Sec: 5.87, Vel m/s: 1.53, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.97, Y: 2.19), Rotation2d(Rads: -1.00, Deg: -57.29)), Curvature: 0.04), 
State(Sec: 5.94, Vel m/s: 1.46, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.03, Y: 2.10), Rotation2d(Rads: -0.99, Deg: -56.93)), Curvature: 0.08), 
State(Sec: 6.02, Vel m/s: 1.38, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.09, Y: 2.01), Rotation2d(Rads: -0.98, Deg: -56.31)), Curvature: 0.13), 
State(Sec: 6.09, Vel m/s: 1.31, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.14, Y: 1.93), Rotation2d(Rads: -0.97, Deg: -55.41)), Curvature: 0.19), 
State(Sec: 6.17, Vel m/s: 1.23, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.20, Y: 1.85), Rotation2d(Rads: -0.95, Deg: -54.16)), Curvature: 0.28), 
State(Sec: 6.24, Vel m/s: 1.16, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.25, Y: 1.78), Rotation2d(Rads: -0.92, Deg: -52.47)), Curvature: 0.40), 
State(Sec: 6.31, Vel m/s: 1.09, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.30, Y: 1.72), Rotation2d(Rads: -0.88, Deg: -50.22)), Curvature: 0.59), 
State(Sec: 6.38, Vel m/s: 1.02, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.35, Y: 1.67), Rotation2d(Rads: -0.82, Deg: -47.22)), Curvature: 0.88), 
State(Sec: 6.44, Vel m/s: 0.95, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.39, Y: 1.62), Rotation2d(Rads: -0.75, Deg: -43.22)), Curvature: 1.35), 
State(Sec: 6.48, Vel m/s: 0.92, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.41, Y: 1.60), Rotation2d(Rads: -0.71, Deg: -40.74)), Curvature: 1.67), 
State(Sec: 6.50, Vel m/s: 0.89, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.43, Y: 1.58), Rotation2d(Rads: -0.66, Deg: -37.89)), Curvature: 2.07), 
State(Sec: 6.53, Vel m/s: 0.87, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.45, Y: 1.57), Rotation2d(Rads: -0.60, Deg: -34.62)), Curvature: 2.55), 
State(Sec: 6.56, Vel m/s: 0.84, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.47, Y: 1.56), Rotation2d(Rads: -0.54, Deg: -30.91)), Curvature: 3.11), 
State(Sec: 6.59, Vel m/s: 0.81, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.49, Y: 1.55), Rotation2d(Rads: -0.47, Deg: -26.74)), Curvature: 3.72), 
State(Sec: 6.61, Vel m/s: 0.79, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.51, Y: 1.54), Rotation2d(Rads: -0.39, Deg: -22.16)), Curvature: 4.34), 
State(Sec: 6.63, Vel m/s: 0.76, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.53, Y: 1.53), Rotation2d(Rads: -0.30, Deg: -17.26)), Curvature: 4.87), 
State(Sec: 6.65, Vel m/s: 0.75, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.54, Y: 1.53), Rotation2d(Rads: -0.26, Deg: -14.74)), Curvature: 5.07), 
State(Sec: 6.66, Vel m/s: 0.74, Accel m/s/s: -0.07, Pose: Pose2d(Translation2d(X: 7.55, Y: 1.53), Rotation2d(Rads: -0.21, Deg: -12.20)), Curvature: 5.20), 
State(Sec: 6.68, Vel m/s: 0.74, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 7.56, Y: 1.52), Rotation2d(Rads: -0.13, Deg: -7.20)), Curvature: 5.22), 
