Trajectory - Seconds: 6.78, States:
State(Sec: 0.00, Vel m/s: 0.00, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.59, Y: 3.80), Rotation2d(Rads: -1.53, Deg: -87.83)), Curvature: 0.00), 
State(Sec: 3.28, Vel m/s: 1.16, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.00, Y: 0.91), Rotation2d(Rads: 0.19, Deg: 10.78)), Curvature: 0.47), 
State(Sec: 3.38, Vel m/s: 1.07, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.11, Y: 0.93), Rotation2d(Rads: 0.24, Deg: 13.58)), Curvature: 0.47), 
State(Sec: 3.47, Vel m/s: 0.98, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.20, Y: 0.95), Rotation2d(Rads: 0.28, Deg: 16.23)), Curvature: 0.52), 
State(Sec: 3.55, Vel m/s: 0.89, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.27, Y: 0.98), Rotation2d(Rads: 0.33, Deg: 18.84)), Curvature: 0.62), 
State(Sec: 3.63, Vel m/s: 0.81, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.34, Y: 1.00), Rotation2d(Rads: 0.37, Deg: 21.43)), Curvature: 0.71), 
State(Sec: 3.78, Vel m/s: 0.67, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.43, Y: 1.04), Rotation2d(Rads: 0.43, Deg: 24.66)), Curvature: 0.00), 
State(Sec: 3.82, Vel m/s: 0.63, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.46, Y: 1.05), Rotation2d(Rads: 0.51, Deg: 29.02)), Curvature: 5.65), 
State(Sec: 3.84, Vel m/s: 0.61, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.47, Y: 1.06), Rotation2d(Rads: 0.59, Deg: 33.73)), Curvature: 6.97), 
State(Sec: 3.85, Vel m/s: 0.60, Accel m/s/s: 0.18, Pose: Pose2d(Translation2d(X: 6.47, Y: 1.06), Rotation2d(Rads: 0.64, Deg: 36.46)), Curvature: 7.19), 
State(Sec: 3.86, Vel m/s: 0.60, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.48, Y: 1.07), Rotation2d(Rads: 0.69, Deg: 39.32)), Curvature: 7.16), 
State(Sec: 3.87, Vel m/s: 0.61, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.48, Y: 1.07), Rotation2d(Rads: 0.74, Deg: 42.23)), Curvature: 6.91), 
State(Sec: 3.88, Vel m/s: 0.62, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.49, Y: 1.08), Rotation2d(Rads: 0.79, Deg: 45.14)), Curvature: 6.49), 
State(Sec: 3.90, Vel m/s: 0.64, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.49, Y: 1.08), Rotation2d(Rads: 0.84, Deg: 47.97)), Curvature: 5.98), 
State(Sec: 3.91, Vel m/s: 0.65, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.50, Y: 1.09), Rotation2d(Rads: 0.88, Deg: 50.70)), Curvature: 5.41), 
State(Sec: 3.92, Vel m/s: 0.66, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.50, Y: 1.10), Rotation2d(Rads: 0.93, Deg: 53.28)), Curvature: 4.82), 
State(Sec: 3.94, Vel m/s: 0.68, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.51, Y: 1.11), Rotation2d(Rads: 0.97, Deg: 55.71)), Curvature: 4.26), 
State(Sec: 3.97, Vel m/s: 0.71, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.52, Y: 1.12), Rotation2d(Rads: 1.05, Deg: 60.06)), Curvature: 3.25), 
State(Sec: 4.00, Vel m/s: 0.74, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.53, Y: 1.14), Rotation2d(Rads: 1.11, Deg: 63.75)), Curvature: 2.44), 
State(Sec: 4.03, Vel m/s: 0.77, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.54, Y: 1.17), Rotation2d(Rads: 1.17, Deg: 66.86)), Curvature: 1.83), 
State(Sec: 4.11, Vel m/s: 0.85, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.56, Y: 1.22), Rotation2d(Rads: 1.25, Deg: 71.65)), Curvature: 1.05), 
State(Sec: 4.19, Vel m/s: 0.93, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.58, Y: 1.29), Rotation2d(Rads: 1.31, Deg: 75.04)), Curvature: 0.63), 
State(Sec: 4.28, Vel m/s: 1.02, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.60, Y: 1.38), Rotation2d(Rads: 1.35, Deg: 77.51)), Curvature: 0.40), 
State(Sec: 4.37, Vel m/s: 1.11, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.62, Y: 1.47), Rotation2d(Rads: 1.38, Deg: 79.34)), Curvature: 0.26), 
State(Sec: 4.47, Vel m/s: 1.21, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.64, Y: 1.58), Rotation2d(Rads: 1.41, Deg: 80.74)), Curvature: 0.18), 
State(Sec: 4.57, Vel m/s: 1.31, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.66, Y: 1.71), Rotation2d(Rads: 1.43, Deg: 81.83)), Curvature: 0.13), 
State(Sec: 4.62, Vel m/s: 1.35, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.67, Y: 1.77), Rotation2d(Rads: 1.44, Deg: 82.29)), Curvature: 0.11), 
State(Sec: 4.66, Vel m/s: 1.40, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.68, Y: 1.84), Rotation2d(Rads: 1.44, Deg: 82.70)), Curvature: 0.10), 
State(Sec: 4.71, Vel m/s: 1.45, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.69, Y: 1.91), Rotation2d(Rads: 1.45, Deg: 83.07)), Curvature: 0.09), 
State(Sec: 4.76, Vel m/s: 1.50, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.70, Y: 1.98), Rotation2d(Rads: 1.46, Deg: 83.41)), Curvature: 0.08), 
State(Sec: 4.81, Vel m/s: 1.55, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.71, Y: 2.05), Rotation2d(Rads: 1.46, Deg: 83.71)), Curvature: 0.07), 
State(Sec: 4.86, Vel m/s: 1.60, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.71, Y: 2.13), Rotation2d(Rads: 1.47, Deg: 83.99)), Curvature: 0.06), 
State(Sec: 4.91, Vel m/s: 1.64, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.72, Y: 2.20), Rotation2d(Rads: 1.47, Deg: 84.24)), Curvature: 0.05), 
State(Sec: 4.95, Vel m/s: 1.69, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.73, Y: 2.28), Rotation2d(Rads: 1.47, Deg: 84.47)), Curvature: 0.05), 
State(Sec: 5.00, Vel m/s: 1.74, Accel m/s/s: -0.02, Pose: Pose2d(Translation2d(X: 6.74, Y: 2.36), Rotation2d(Rads: 1.48, Deg: 84.68)), Curvature: 0.05), 
State(Sec: 5.04, Vel m/s: 1.73, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.74, Y: 2.43), Rotation2d(Rads: 1.48, Deg: 84.88)), Curvature: 0.04), 
State(Sec: 5.09, Vel m/s: 1.69, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.75, Y: 2.51), Rotation2d(Rads: 1.48, Deg: 85.06)), Curvature: 0.04), 
State(Sec: 5.13, Vel m/s: 1.64, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.76, Y: 2.59), Rotation2d(Rads: 1.49, Deg: 85.23)), Curvature: 0.04), 
State(Sec: 5.18, Vel m/s: 1.59, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.76, Y: 2.67), Rotation2d(Rads: 1.49, Deg: 85.39)), Curvature: 0.03), 
State(Sec: 5.23, Vel m/s: 1.55, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.77, Y: 2.74), Rotation2d(Rads: 1.49, Deg: 85.53)), Curvature: 0.03), 
State(Sec: 5.28, Vel m/s: 1.50, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.78, Y: 2.82), Rotation2d(Rads: 1.50, Deg: 85.67)), Curvature: 0.03), 
State(Sec: 5.33, Vel m/s: 1.44, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.78, Y: 2.90), Rotation2d(Rads: 1.50, Deg: 85.79)), Curvature: 0.03), 
State(Sec: 5.38, Vel m/s: 1.39, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.79, Y: 2.97), Rotation2d(Rads: 1.50, Deg: 85.91)), Curvature: 0.03), 
State(Sec: 5.44, Vel m/s: 1.34, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.79, Y: 3.04), Rotation2d(Rads: 1.50, Deg: 86.02)), Curvature: 0.03), 
State(Sec: 5.49, Vel m/s: 1.29, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.80, Y: 3.11), Rotation2d(Rads: 1.50, Deg: 86.13)), Curvature: 0.03), 
State(Sec: 5.54, Vel m/s: 1.23, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.80, Y: 3.18), Rotation2d(Rads: 1.50, Deg: 86.23)), Curvature: 0.03), 
State(Sec: 5.60, Vel m/s: 1.18, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.80, Y: 3.24), Rotation2d(Rads: 1.51, Deg: 86.32)), Curvature: 0.03), 
State(Sec: 5.65, Vel m/s: 1.13, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.81, Y: 3.30), Rotation2d(Rads: 1.51, Deg: 86.41)), Curvature: 0.02), 
State(Sec: 5.76, Vel m/s: 1.02, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.82, Y: 3.42), Rotation2d(Rads: 1.51, Deg: 86.58)), Curvature: 0.02), 
State(Sec: 5.87, Vel m/s: 0.91, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.82, Y: 3.52), Rotation2d(Rads: 1.51, Deg: 86.73)), Curvature: 0.03), 
State(Sec: 5.98, Vel m/s: 0.80, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.83, Y: 3.62), Rotation2d(Rads: 1.52, Deg: 86.87)), Curvature: 0.03), 
State(Sec: 6.08, Vel m/s: 0.69, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.83, Y: 3.70), Rotation2d(Rads: 1.52, Deg: 87.00)), Curvature: 0.03), 
State(Sec: 6.28, Vel m/s: 0.49, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.84, Y: 3.81), Rotation2d(Rads: 1.52, Deg: 87.24)), Curvature: 0.04), 
State(Sec: 6.78, Vel m/s: 0.00, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.84, Y: 3.94), Rotation2d(Rads: 1.53, Deg: 87.55)), Curvature: -0.00)
