Trajectory - Seconds: 6.18, States:
State(Sec: 0.00, Vel m/s: 0.00, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.30, Y: 3.78), Rotation2d(Rads: -1.46, Deg: -83.49)), Curvature: 0.00), 
State(Sec: 1.73, Vel m/s: 1.73, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.56, Y: 2.30), Rotation2d(Rads: -1.29, Deg: -74.16)), Curvature: 0.25), 
State(Sec: 1.78, Vel m/s: 1.78, Accel m/s/s: 0.15, Pose: Pose2d(Translation2d(X: 2.59, Y: 2.22), Rotation2d(Rads: -1.27, Deg: -72.82)), Curvature: 0.30), 
State(Sec: 1.83, Vel m/s: 1.79, Accel m/s/s: -0.87, Pose: Pose2d(Translation2d(X: 2.61, Y: 2.14), Rotation2d(Rads: -1.24, Deg: -71.29)), Curvature: 0.36), 
State(Sec: 1.87, Vel m/s: 1.75, Accel m/s/s: -0.97, Pose: Pose2d(Translation2d(X: 2.64, Y: 2.07), Rotation2d(Rads: -1.21, Deg: -69.55)), Curvature: 0.44), 
State(Sec: 1.91, Vel m/s: 1.71, Accel m/s/s: -0.96, Pose: Pose2d(Translation2d(X: 2.66, Y: 2.00), Rotation2d(Rads: -1.18, Deg: -67.61)), Curvature: 0.52), 
State(Sec: 1.95, Vel m/s: 1.67, Accel m/s/s: -0.73, Pose: Pose2d(Translation2d(X: 2.69, Y: 1.94), Rotation2d(Rads: -1.14, Deg: -65.48)), Curvature: 0.60), 
State(Sec: 1.99, Vel m/s: 1.65, Accel m/s/s: 0.54, Pose: Pose2d(Translation2d(X: 2.72, Y: 1.89), Rotation2d(Rads: -1.10, Deg: -63.24)), Curvature: 0.66), 
State(Sec: 2.05, Vel m/s: 1.68, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.77, Y: 1.79), Rotation2d(Rads: -1.03, Deg: -59.03)), Curvature: 0.58), 
State(Sec: 2.11, Vel m/s: 1.74, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.83, Y: 1.70), Rotation2d(Rads: -1.00, Deg: -57.04)), Curvature: 0.00), 
State(Sec: 2.17, Vel m/s: 1.80, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.88, Y: 1.61), Rotation2d(Rads: -0.99, Deg: -56.92)), Curvature: 0.05), 
State(Sec: 2.23, Vel m/s: 1.86, Accel m/s/s: -0.04, Pose: Pose2d(Translation2d(X: 2.94, Y: 1.53), Rotation2d(Rads: -0.99, Deg: -56.50)), Curvature: 0.10), 
State(Sec: 2.29, Vel m/s: 1.85, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.00, Y: 1.44), Rotation2d(Rads: -0.97, Deg: -55.76)), Curvature: 0.14), 
State(Sec: 2.35, Vel m/s: 1.79, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.06, Y: 1.35), Rotation2d(Rads: -0.95, Deg: -54.69)), Curvature: 0.20), 
State(Sec: 2.41, Vel m/s: 1.73, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.13, Y: 1.26), Rotation2d(Rads: -0.93, Deg: -53.25)), Curvature: 0.25), 
State(Sec: 2.48, Vel m/s: 1.66, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.20, Y: 1.17), Rotation2d(Rads: -0.90, Deg: -51.39)), Curvature: 0.32), 
State(Sec: 2.55, Vel m/s: 1.59, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.27, Y: 1.08), Rotation2d(Rads: -0.86, Deg: -49.04)), Curvature: 0.42), 
State(Sec: 2.62, Vel m/s: 1.52, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.34, Y: 1.00), Rotation2d(Rads: -0.80, Deg: -46.05)), Curvature: 0.55), 
State(Sec: 2.69, Vel m/s: 1.45, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.42, Y: 0.93), Rotation2d(Rads: -0.74, Deg: -42.27)), Curvature: 0.74), 
State(Sec: 2.75, Vel m/s: 1.39, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.49, Y: 0.87), Rotation2d(Rads: -0.65, Deg: -37.48)), Curvature: 1.00), 
State(Sec: 2.79, Vel m/s: 1.35, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.53, Y: 0.84), Rotation2d(Rads: -0.60, Deg: -34.64)), Curvature: 1.17), 
State(Sec: 2.82, Vel m/s: 1.32, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.56, Y: 0.82), Rotation2d(Rads: -0.55, Deg: -31.49)), Curvature: 1.36), 
State(Sec: 2.85, Vel m/s: 1.29, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.60, Y: 0.79), Rotation2d(Rads: -0.49, Deg: -28.00)), Curvature: 1.56), 
State(Sec: 2.88, Vel m/s: 1.26, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.64, Y: 0.78), Rotation2d(Rads: -0.42, Deg: -24.22)), Curvature: 1.76), 
State(Sec: 2.91, Vel m/s: 1.23, Accel m/s/s: -0.91, Pose: Pose2d(Translation2d(X: 3.67, Y: 0.76), Rotation2d(Rads: -0.35, Deg: -20.19)), Curvature: 1.93), 
State(Sec: 2.94, Vel m/s: 1.20, Accel m/s/s: -0.15, Pose: Pose2d(Translation2d(X: 3.70, Y: 0.75), Rotation2d(Rads: -0.28, Deg: -16.02)), Curvature: 2.04), 
State(Sec: 2.97, Vel m/s: 1.19, Accel m/s/s: 0.64, Pose: Pose2d(Translation2d(X: 3.74, Y: 0.74), Rotation2d(Rads: -0.21, Deg: -11.86)), Curvature: 2.06), 
State(Sec: 3.00, Vel m/s: 1.21, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.77, Y: 0.74), Rotation2d(Rads: -0.14, Deg: -7.91)), Curvature: 1.95), 
State(Sec: 3.03, Vel m/s: 1.18, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.81, Y: 0.73), Rotation2d(Rads: -0.08, Deg: -4.40)), Curvature: 1.69), 
State(Sec: 3.06, Vel m/s: 1.16, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.84, Y: 0.73), Rotation2d(Rads: -0.03, Deg: -1.58)), Curvature: 1.28), 
State(Sec: 3.12, Vel m/s: 1.10, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.90, Y: 0.73), Rotation2d(Rads: 0.02, Deg: 0.96)), Curvature: -0.00), 
State(Sec: 3.18, Vel m/s: 1.04, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.97, Y: 0.73), Rotation2d(Rads: 0.09, Deg: 5.34)), Curvature: 2.19), 
State(Sec: 3.21, Vel m/s: 1.01, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.00, Y: 0.74), Rotation2d(Rads: 0.18, Deg: 10.13)), Curvature: 2.88), 
State(Sec: 3.22, Vel m/s: 0.99, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.02, Y: 0.74), Rotation2d(Rads: 0.23, Deg: 12.97)), Curvature: 3.09), 
State(Sec: 3.24, Vel m/s: 0.97, Accel m/s/s: -0.41, Pose: Pose2d(Translation2d(X: 4.03, Y: 0.75), Rotation2d(Rads: 0.28, Deg: 16.01)), Curvature: 3.22), 
State(Sec: 3.26, Vel m/s: 0.97, Accel m/s/s: 0.26, Pose: Pose2d(Translation2d(X: 4.05, Y: 0.75), Rotation2d(Rads: 0.33, Deg: 19.19)), Curvature: 3.27), 
State(Sec: 3.28, Vel m/s: 0.97, Accel m/s/s: 0.82, Pose: Pose2d(Translation2d(X: 4.07, Y: 0.76), Rotation2d(Rads: 0.39, Deg: 22.44)), Curvature: 3.24), 
State(Sec: 3.30, Vel m/s: 0.99, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.08, Y: 0.77), Rotation2d(Rads: 0.45, Deg: 25.69)), Curvature: 3.15), 
State(Sec: 3.31, Vel m/s: 1.00, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.10, Y: 0.77), Rotation2d(Rads: 0.50, Deg: 28.91)), Curvature: 3.00), 
State(Sec: 3.33, Vel m/s: 1.02, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.11, Y: 0.78), Rotation2d(Rads: 0.56, Deg: 32.03)), Curvature: 2.82), 
State(Sec: 3.35, Vel m/s: 1.04, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.13, Y: 0.79), Rotation2d(Rads: 0.61, Deg: 35.04)), Curvature: 2.61), 
State(Sec: 3.37, Vel m/s: 1.06, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.15, Y: 0.81), Rotation2d(Rads: 0.66, Deg: 37.92)), Curvature: 2.40), 
State(Sec: 3.39, Vel m/s: 1.08, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.16, Y: 0.82), Rotation2d(Rads: 0.71, Deg: 40.63)), Curvature: 2.19), 
State(Sec: 3.43, Vel m/s: 1.12, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.19, Y: 0.85), Rotation2d(Rads: 0.80, Deg: 45.58)), Curvature: 1.80), 
State(Sec: 3.47, Vel m/s: 1.16, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.22, Y: 0.88), Rotation2d(Rads: 0.87, Deg: 49.90)), Curvature: 1.46), 
State(Sec: 3.51, Vel m/s: 1.20, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.26, Y: 0.92), Rotation2d(Rads: 0.94, Deg: 53.65)), Curvature: 1.20), 
State(Sec: 3.55, Vel m/s: 1.24, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.29, Y: 0.96), Rotation2d(Rads: 0.99, Deg: 56.91)), Curvature: 0.99), 
State(Sec: 3.60, Vel m/s: 1.29, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.31, Y: 1.01), Rotation2d(Rads: 1.04, Deg: 59.76)), Curvature: 0.83), 
State(Sec: 3.64, Vel m/s: 1.33, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.34, Y: 1.06), Rotation2d(Rads: 1.09, Deg: 62.28)), Curvature: 0.71), 
State(Sec: 3.73, Vel m/s: 1.42, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.39, Y: 1.17), Rotation2d(Rads: 1.16, Deg: 66.57)), Curvature: 0.56), 
State(Sec: 3.81, Vel m/s: 1.50, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.44, Y: 1.28), Rotation2d(Rads: 1.23, Deg: 70.20)), Curvature: 0.49), 
State(Sec: 3.89, Vel m/s: 1.58, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.48, Y: 1.40), Rotation2d(Rads: 1.28, Deg: 73.49)), Curvature: 0.47), 
State(Sec: 3.96, Vel m/s: 1.65, Accel m/s/s: 0.46, Pose: Pose2d(Translation2d(X: 4.51, Y: 1.51), Rotation2d(Rads: 1.34, Deg: 76.70)), Curvature: 0.50), 
State(Sec: 4.03, Vel m/s: 1.68, Accel m/s/s: -0.86, Pose: Pose2d(Translation2d(X: 4.53, Y: 1.62), Rotation2d(Rads: 1.40, Deg: 80.00)), Curvature: 0.58), 
State(Sec: 4.09, Vel m/s: 1.63, Accel m/s/s: -0.63, Pose: Pose2d(Translation2d(X: 4.54, Y: 1.71), Rotation2d(Rads: 1.46, Deg: 83.53)), Curvature: 0.69), 
State(Sec: 4.14, Vel m/s: 1.60, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.55, Y: 1.80), Rotation2d(Rads: 1.52, Deg: 87.18)), Curvature: 0.77), 
State(Sec: 4.19, Vel m/s: 1.65, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.55, Y: 1.88), Rotation2d(Rads: 1.58, Deg: 90.37)), Curvature: 0.61), 
State(Sec: 4.23, Vel m/s: 1.69, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.55, Y: 1.95), Rotation2d(Rads: 1.60, Deg: 91.78)), Curvature: -0.00), 
State(Sec: 4.27, Vel m/s: 1.73, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.55, Y: 2.02), Rotation2d(Rads: 1.60, Deg: 91.80)), Curvature: 0.01), 
State(Sec: 4.31, Vel m/s: 1.77, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.54, Y: 2.09), Rotation2d(Rads: 1.60, Deg: 91.84)), Curvature: 0.01), 
State(Sec: 4.36, Vel m/s: 1.82, Accel m/s/s: -0.95, Pose: Pose2d(Translation2d(X: 4.54, Y: 2.18), Rotation2d(Rads: 1.60, Deg: 91.88)), Curvature: 0.01), 
State(Sec: 4.41, Vel m/s: 1.77, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.54, Y: 2.26), Rotation2d(Rads: 1.60, Deg: 91.90)), Curvature: 0.00), 
State(Sec: 4.46, Vel m/s: 1.72, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.54, Y: 2.36), Rotation2d(Rads: 1.60, Deg: 91.91)), Curvature: 0.00), 
State(Sec: 4.53, Vel m/s: 1.65, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.53, Y: 2.46), Rotation2d(Rads: 1.60, Deg: 91.91)), Curvature: -0.00), 
State(Sec: 4.59, Vel m/s: 1.59, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.53, Y: 2.57), Rotation2d(Rads: 1.60, Deg: 91.89)), Curvature: -0.01), 
State(Sec: 4.66, Vel m/s: 1.52, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.53, Y: 2.67), Rotation2d(Rads: 1.60, Deg: 91.84)), Curvature: -0.01), 
State(Sec: 4.72, Vel m/s: 1.46, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.52, Y: 2.77), Rotation2d(Rads: 1.60, Deg: 91.77)), Curvature: -0.02), 
State(Sec: 4.79, Vel m/s: 1.39, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.52, Y: 2.86), Rotation2d(Rads: 1.60, Deg: 91.66)), Curvature: -0.03), 
State(Sec: 4.85, Vel m/s: 1.33, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.52, Y: 2.94), Rotation2d(Rads: 1.60, Deg: 91.50)), Curvature: -0.05), 
State(Sec: 4.90, Vel m/s: 1.28, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.52, Y: 3.01), Rotation2d(Rads: 1.59, Deg: 91.26)), Curvature: -0.08), 
State(Sec: 4.98, Vel m/s: 1.20, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.51, Y: 3.11), Rotation2d(Rads: 1.58, Deg: 90.31)), Curvature: -0.32), 
State(Sec: 5.02, Vel m/s: 1.16, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.51, Y: 3.16), Rotation2d(Rads: 1.56, Deg: 89.14)), Curvature: 0.00), 
State(Sec: 5.12, Vel m/s: 1.06, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.52, Y: 3.27), Rotation2d(Rads: 1.49, Deg: 85.42)), Curvature: -0.54), 
State(Sec: 5.20, Vel m/s: 0.98, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.53, Y: 3.35), Rotation2d(Rads: 1.46, Deg: 83.73)), Curvature: -0.28), 
State(Sec: 5.29, Vel m/s: 0.89, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.54, Y: 3.43), Rotation2d(Rads: 1.44, Deg: 82.76)), Curvature: -0.13), 
State(Sec: 5.40, Vel m/s: 0.78, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.55, Y: 3.53), Rotation2d(Rads: 1.44, Deg: 82.31)), Curvature: -0.04), 
State(Sec: 5.55, Vel m/s: 0.63, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.56, Y: 3.63), Rotation2d(Rads: 1.44, Deg: 82.24)), Curvature: 0.01), 
State(Sec: 5.73, Vel m/s: 0.45, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.58, Y: 3.73), Rotation2d(Rads: 1.44, Deg: 82.39)), Curvature: 0.03), 
State(Sec: 6.18, Vel m/s: 0.00, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.59, Y: 3.83), Rotation2d(Rads: 1.44, Deg: 82.51)), Curvature: 0.00)
